objectid,title,creator,date,description,subject,extent,medium,source,identifier,format,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text
ArtLoanProgram_00001,Along the Stream,"Bestine, J.",,black ink drawing,nature ; water ; landscape,Less than 17 in. x 21 in.,drawing,"Art Loan, box 1, item 1",artloan_b1_0001,image/jpg,,,image,/objects/artloan_b1_0001.jpg,,,
ArtLoanProgram_00002,Two Women,M,,block print,women,Less than 17 in. x 21 in.,print,"Art Loan, box 1, item 2",artloan_b1_0002,image/jpg,,,image,/objects/artloan_b1_0002.jpg,,,
ArtLoanProgram_00003,The Pilot,"Wilkinson, Norman",,dry-point,ships ; water,Less than 17 in. x 21 in.,dry point,"Art Loan, box 1, item 3",artloan_b1_0003,image/jpg,,,image,/objects/artloan_b1_0003.jpg,,,
