objectid,title,creator,date,description,subject,extent,medium,source,identifier,format,rights,rightsstatement,display_template,object rename ,object_location,image_small,image_thumb,image_alt_text
ArtLoanProgram_00063,Coney Island,"Segalman, Richard",2008,lithograph,ocean ; people,Less than 25 in. x 37 in.,print,"Art Loan, box 3, item 10",ArtLoan_b1_0063,image/tiff,,,image,/objects/ArtLoan_b1_0063.jpg,,,,
ArtLoanProgram_00064,The Window,"A., M.",,print,interior portrait,Less than 25 in. x 37 in.,print,"Art Loan, box 3, item 11",ArtLoan_b1_0064,image/tiff,,,image,/objects/ArtLoan_b1_0064.jpg,,,,
ArtLoanProgram_00065,Father and Child,"Dobkin, A.",1970-08,lithograph,portrait ; child ; people,Less than 25 in. x 37 in.,print,"Art Loan, box 3, item 12",ArtLoan_b1_0065,image/tiff,,,image,/objects/ArtLoan_b1_0065.jpg,,,,
ArtLoanProgram_00066,,,,,,,,"Art Loan, box 4, item 1",ArtLoan_b1_0066,image/tiff,,,image,/objects/ArtLoan_b1_0066.jpg,,,,
ArtLoanProgram_00067,,,,,,,,"Art Loan, box 4, item 2",ArtLoan_b1_0067,image/tiff,,,image,/objects/ArtLoan_b1_0067.jpg,,,,
ArtLoanProgram_00068,,,,,,,,"Art Loan, box 4, item 3",ArtLoan_b1_0068,image/tiff,,,image,/objects/ArtLoan_b1_0068.jpg,,,,
ArtLoanProgram_00069,,,,,,,,"Art Loan, box 4, item 4",ArtLoan_b1_0069,image/tiff,,,image,/objects/ArtLoan_b1_0069.jpg,,,,
ArtLoanProgram_00070,,,,,,,,"Art Loan, box 4, item 5",ArtLoan_b1_0070,image/tiff,,,image,/objects/ArtLoan_b1_0070.jpg,,,,
ArtLoanProgram_00071,,,,,,,,"Art Loan, box 4, item 6",ArtLoan_b1_0071,image/tiff,,,image,/objects/ArtLoan_b1_0071.jpg,,,,
ArtLoanProgram_00072,,,,,,,,"Art Loan, box 4, item 7",ArtLoan_b1_0072,image/tiff,,,image,/objects/ArtLoan_b1_0072.jpg,,,,
ArtLoanProgram_00073,,,,,,,,"Art Loan, box 4, item 8",ArtLoan_b1_0073,image/tiff,,,image,/objects/ArtLoan_b1_0073.jpg,,,,
ArtLoanProgram_00074,,,,,,,,"Art Loan, box 4, item 9",ArtLoan_b1_0074,image/tiff,,,image,/objects/ArtLoan_b1_0074.jpg,,,,
ArtLoanProgram_00075,,,,,,,,"Art Loan, box 4, item 10",ArtLoan_b1_0075,image/tiff,,,image,/objects/ArtLoan_b1_0075.jpg,,,,
ArtLoanProgram_00076,,,,,,,,"Art Loan, box 4, item 11",ArtLoan_b1_0076,image/tiff,,,image,/objects/ArtLoan_b1_0076.jpg,,,,
ArtLoanProgram_00077,,,,,,,,"Art Loan, box 4, item 12",ArtLoan_b1_0077,image/tiff,,,image,/objects/ArtLoan_b1_0077.jpg,,,,
ArtLoanProgram_00078,,,,,,,,"Art Loan, box 4, item 13",ArtLoan_b1_0078,image/tiff,,,image,/objects/ArtLoan_b1_0078.jpg,,,,
ArtLoanProgram_00079,,,,,,,,"Art Loan, box 4, item 14",ArtLoan_b1_0079,image/tiff,,,image,/objects/ArtLoan_b1_0079.jpg,,,,
ArtLoanProgram_00080,,,,,,,,"Art Loan, box 4, item 15",ArtLoan_b1_0080,image/tiff,,,image,/objects/ArtLoan_b1_0080.jpg,,,,
ArtLoanProgram_00081,,,,,,,,"Art Loan, box 4, item 16",ArtLoan_b1_0081,image/tiff,,,image,/objects/ArtLoan_b1_0081.jpg,,,,
ArtLoanProgram_00082,,,,,,,,"Art Loan, box 4, item 17",ArtLoan_b1_0082,image/tiff,,,image,/objects/ArtLoan_b1_0082.jpg,,,,
ArtLoanProgram_00083,,,,,,,,"Art Loan, box 4, item 18",ArtLoan_b1_0083,image/tiff,,,image,/objects/ArtLoan_b1_0083.jpg,,,,
ArtLoanProgram_00084,,,,,,,,"Art Loan, box 4, item 19",ArtLoan_b1_0084,image/tiff,,,image,/objects/ArtLoan_b1_0084.jpg,,,,
ArtLoanProgram_00085,,,,,,,,"Art Loan, box 4, item 20",ArtLoan_b1_0085,image/tiff,,,image,/objects/ArtLoan_b1_0085.jpg,,,,
ArtLoanProgram_00086,,,,,,,,"Art Loan, box 4, item 21",ArtLoan_b1_0086,image/tiff,,,image,/objects/ArtLoan_b1_0086.jpg,,,,
ArtLoanProgram_00087,,,,,,,,"Art Loan, box 4, item 22",ArtLoan_b1_0087,image/tiff,,,image,/objects/ArtLoan_b1_0087.jpg,,,,
ArtLoanProgram_00088,,,,,,,,"Art Loan, box 4, item 23",ArtLoan_b1_0088,image/tiff,,,image,/objects/ArtLoan_b1_0088.jpg,,,,
ArtLoanProgram_00089,,,,,,,,"Art Loan, box 4, item 24",ArtLoan_b1_0089,image/tiff,,,image,/objects/ArtLoan_b1_0089.jpg,,,,
ArtLoanProgram_00090,,,,,,,,"Art Loan, box 4, item 25",ArtLoan_b1_0090,image/tiff,,,image,/objects/ArtLoan_b1_0090.jpg,,,,
ArtLoanProgram_00091,,,,,,,,"Art Loan, box 4, item 26",ArtLoan_b1_0091,image/tiff,,,image,/objects/ArtLoan_b1_0091.jpg,,,,
ArtLoanProgram_00092,,,,,,,,"Art Loan, box 4, item 27",ArtLoan_b1_0092,image/tiff,,,image,/objects/ArtLoan_b1_0092.jpg,,,,
ArtLoanProgram_00093,,,,,,,,"Art Loan, box 4, item 28",ArtLoan_b1_0093,image/tiff,,,image,/objects/ArtLoan_b1_0093.jpg,,,,
ArtLoanProgram_00094,,,,,,,,"Art Loan, box 4, item 29",ArtLoan_b1_0094,image/tiff,,,image,/objects/ArtLoan_b1_0094.jpg,,,,
ArtLoanProgram_00095,,,,,,,,"Art Loan, box 4, item 30",ArtLoan_b1_0095,image/tiff,,,image,/objects/ArtLoan_b1_0095.jpg,,,,
ArtLoanProgram_00096,,,,,,,,"Art Loan, box 4, item 31",ArtLoan_b1_0096,image/tiff,,,image,/objects/ArtLoan_b1_0096.jpg,,,,
ArtLoanProgram_00097,,,,,,,,"Art Loan, box 4, item 32",ArtLoan_b1_0097,image/tiff,,,image,/objects/ArtLoan_b1_0097.jpg,,,,
ArtLoanProgram_00098,,,,,,,,"Art Loan, box 4, item 33",ArtLoan_b1_0098,image/tiff,,,image,/objects/ArtLoan_b1_0098.jpg,,,,
ArtLoanProgram_00099,,,,,,,,"Art Loan, box 4, item 34",ArtLoan_b1_0099,image/tiff,,,image,/objects/ArtLoan_b1_0099.jpg,,,,
ArtLoanProgram_00100,,,,,,,,"Art Loan, box 4, item 35",ArtLoan_b1_0100,image/tiff,,,image,/objects/ArtLoan_b1_0100.jpg,,,,
ArtLoanProgram_00101,,,,,,,,"Art Loan, box 4, item 36",ArtLoan_b1_0101,image/tiff,,,image,/objects/ArtLoan_b1_0101.jpg,,,,
ArtLoanProgram_00102,,,,,,,,"Art Loan, box 4, item 37",ArtLoan_b1_0102,image/tiff,,,image,/objects/ArtLoan_b1_0102.jpg,,,,
ArtLoanProgram_00103,,,,,,,,"Art Loan, box 4, item 38",ArtLoan_b1_0103,image/tiff,,,image,/objects/ArtLoan_b1_0103.jpg,,,,
ArtLoanProgram_00104,,,,,,,,"Art Loan, box 4, item 39",ArtLoan_b1_0104,image/tiff,,,image,/objects/ArtLoan_b1_0104.jpg,,,,
ArtLoanProgram_00105,,,,,,,,"Art Loan, box 4, item 40",ArtLoan_b1_0105,image/tiff,,,image,/objects/ArtLoan_b1_0105.jpg,,,,
ArtLoanProgram_00106,,,,,,,,"Art Loan, box 4, item 41",ArtLoan_b1_0106,image/tiff,,,image,/objects/ArtLoan_b1_0106.jpg,,,,
ArtLoanProgram_00107,,,,,,,,"Art Loan, box 4, item 42",ArtLoan_b1_0107,image/tiff,,,image,/objects/ArtLoan_b1_0107.jpg,,,,
ArtLoanProgram_00108,,,,,,,,"Art Loan, box 4, item 43",ArtLoan_b1_0108,image/tiff,,,image,/objects/ArtLoan_b1_0108.jpg,,,,
ArtLoanProgram_00109,,,,,,,,"Art Loan, box 5, item 1",ArtLoan_b1_0109,image/tiff,,,image,/objects/ArtLoan_b1_0109.jpg,,,,
ArtLoanProgram_00110,,,,,,,,"Art Loan, box 5, item 2",ArtLoan_b1_0110,image/tiff,,,image,/objects/ArtLoan_b1_0110.jpg,,,,
ArtLoanProgram_00111,,,,,,,,"Art Loan, box 5, item 3",ArtLoan_b1_0111,image/tiff,,,image,/objects/ArtLoan_b1_0111.jpg,,,,
ArtLoanProgram_00112,,,,,,,,"Art Loan, box 5, item 4",ArtLoan_b1_0112,image/tiff,,,image,/objects/ArtLoan_b1_0112.jpg,,,,
ArtLoanProgram_00113,,,,,,,,"Art Loan, box 5, item 5",ArtLoan_b1_0113,image/tiff,,,image,/objects/ArtLoan_b1_0113.jpg,,,,
ArtLoanProgram_00114,,,,,,,,"Art Loan, box 5, item 6",ArtLoan_b1_0114,image/tiff,,,image,/objects/ArtLoan_b1_0114.jpg,,,,
ArtLoanProgram_00115,,,,,,,,"Art Loan, box 5, item 7",ArtLoan_b1_0115,image/tiff,,,image,/objects/ArtLoan_b1_0115.jpg,,,,
ArtLoanProgram_00116,,,,,,,,"Art Loan, box 5, item 8",ArtLoan_b1_0116,image/tiff,,,image,/objects/ArtLoan_b1_0116.jpg,,,,
ArtLoanProgram_00117,,,,,,,,"Art Loan, box 5, item 9",ArtLoan_b1_0117,image/tiff,,,image,/objects/ArtLoan_b1_0117.jpg,,,,
ArtLoanProgram_00118,,,,,,,,"Art Loan, box 5, item 10",ArtLoan_b1_0118,image/tiff,,,image,/objects/ArtLoan_b1_0118.jpg,,,,
ArtLoanProgram_00119,,,,,,,,"Art Loan, box 5, item 11",ArtLoan_b1_0119,image/tiff,,,image,/objects/ArtLoan_b1_0119.jpg,,,,
ArtLoanProgram_00120,,,,,,,,"Art Loan, box 5, item 12",ArtLoan_b1_0120,image/tiff,,,image,/objects/ArtLoan_b1_0120.jpg,,,,
ArtLoanProgram_00121,,,,,,,,"Art Loan, box 5, item 13",ArtLoan_b1_0121,image/tiff,,,image,/objects/ArtLoan_b1_0121.jpg,,,,
ArtLoanProgram_00122,,,,,,,,"Art Loan, box 5, item 14",ArtLoan_b1_0122,image/tiff,,,image,/objects/ArtLoan_b1_0122.jpg,,,,
ArtLoanProgram_00123,,,,,,,,"Art Loan, box 5, item 15",ArtLoan_b1_0123,image/tiff,,,image,/objects/ArtLoan_b1_0123.jpg,,,,
ArtLoanProgram_00124,,,,,,,,"Art Loan, box 5, item 16",ArtLoan_b1_0124,image/tiff,,,image,/objects/ArtLoan_b1_0124.jpg,,,,
ArtLoanProgram_00125,,,,,,,,"Art Loan, box 5, item 17",ArtLoan_b1_0125,image/tiff,,,image,/objects/ArtLoan_b1_0125.jpg,,,,
ArtLoanProgram_00126,,,,,,,,"Art Loan, box 5, item 18",ArtLoan_b1_0126,image/tiff,,,image,/objects/ArtLoan_b1_0126.jpg,,,,
ArtLoanProgram_00127,,,,,,,,"Art Loan, box 5, item 19",ArtLoan_b1_0127,image/tiff,,,image,/objects/ArtLoan_b1_0127.jpg,,,,
ArtLoanProgram_00128,,,,,,,,"Art Loan, box 5, item 20",ArtLoan_b1_0128,image/tiff,,,image,/objects/ArtLoan_b1_0128.jpg,,,,
ArtLoanProgram_00129,,,,,,,,"Art Loan, box 5, item 21",ArtLoan_b1_0129,image/tiff,,,image,/objects/ArtLoan_b1_0129.jpg,,,,
ArtLoanProgram_00130,,,,,,,,"Art Loan, box 5, item 22",ArtLoan_b1_0130,image/tiff,,,image,/objects/ArtLoan_b1_0130.jpg,,,,
ArtLoanProgram_00131,,,,,,,,"Art Loan, box 5, item 23",ArtLoan_b1_0131,image/tiff,,,image,/objects/ArtLoan_b1_0131.jpg,,,,
ArtLoanProgram_00132,,,,,,,,"Art Loan, box 5, item 24",ArtLoan_b1_0132,image/tiff,,,image,/objects/ArtLoan_b1_0132.jpg,,,,
ArtLoanProgram_00133,,,,,,,,,,,,,,,,,,
